checking_account_status,duration,credit_history,purpose,credit_amount,savings,present_employment,installment_rate,personal,other_debtors,present_residence,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,customer_type
>= 200 DM,15,Critical Account/Other Credit Existing(Not this bank),Radio/TV,1271,Unknown/ No Saving Ac,1 to 4,3,Male (Single),none,4,Unknown/ No property,39,none,For Free,2,SkilledEmployee/Official,1,Yes,Yes,Bad
No Checking Account,24,Existing Credits Paid Back,New Car,1393,<100,1 to 4,2,Male (Single),guarantor,2,Real Estate,31,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,12,Critical Account/Other Credit Existing(Not this bank),New Car,691,<100,>=7,4,Male (Single),none,3,Society Saving/ Life Insurance,35,none,Own,2,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,15,Critical Account/Other Credit Existing(Not this bank),New Car,5045,Unknown/ No Saving Ac,>=7,1,Female (Div/Sep/Married),none,4,car or other,59,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,18,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,2124,<100,1 to 4,4,Female (Div/Sep/Married),none,4,Real Estate,24,none,Rent,2,SkilledEmployee/Official,1,None,Yes,Bad
< 0 DM,12,Existing Credits Paid Back,Radio/TV,2214,<100,1 to 4,4,Male (Single),none,3,Society Saving/ Life Insurance,24,none,Own,1,Unskilled Resident,1,None,Yes,Good
No Checking Account,21,Critical Account/Other Credit Existing(Not this bank),New Car,12680,Unknown/ No Saving Ac,>=7,4,Male (Single),none,4,Unknown/ No property,30,none,For Free,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Bad
No Checking Account,24,Critical Account/Other Credit Existing(Not this bank),New Car,2463,100 - 500,4 to 7,4,Male (Married/Widowed),none,3,Society Saving/ Life Insurance,27,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,12,Existing Credits Paid Back,Radio/TV,1155,<100,>=7,3,Male (Married/Widowed),guarantor,3,Real Estate,40,Bank,Own,2,Unskilled Resident,1,None,Yes,Good
< 0 DM,30,Existing Credits Paid Back,Furniture/Equipment,3108,<100,<1,2,Male (Div/Sep/Married),none,4,Society Saving/ Life Insurance,31,none,Own,1,Unskilled Resident,1,None,Yes,Bad
No Checking Account,10,Existing Credits Paid Back,Used Car,2901,Unknown/ No Saving Ac,<1,1,Female (Div/Sep/Married),none,4,Real Estate,31,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,12,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,3617,<100,>=7,1,Male (Single),none,4,car or other,28,none,Rent,3,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),Radio/TV,1655,<100,>=7,2,Male (Single),none,4,Real Estate,63,none,Own,2,Unskilled Resident,1,Yes,Yes,Good
< 0 DM,24,Existing Credits Paid Back,Used Car,2812,Unknown/ No Saving Ac,>=7,2,Female (Div/Sep/Married),none,4,Real Estate,26,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,36,Critical Account/Other Credit Existing(Not this bank),Education,8065,<100,1 to 4,3,Female (Div/Sep/Married),none,2,Unknown/ No property,25,none,Own,2,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Bad
No Checking Account,21,Critical Account/Other Credit Existing(Not this bank),Used Car,3275,<100,>=7,1,Male (Single),none,4,car or other,36,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
No Checking Account,24,Critical Account/Other Credit Existing(Not this bank),Radio/TV,2223,100 - 500,>=7,4,Male (Single),none,4,Society Saving/ Life Insurance,52,Bank,Own,2,SkilledEmployee/Official,1,None,Yes,Good
>= 200 DM,12,Critical Account/Other Credit Existing(Not this bank),New Car,1480,500 - 1000,unemployed,2,Male (Single),none,4,Unknown/ No property,66,Bank,For Free,3,UnEmp - NR,1,None,Yes,Good
< 0 DM,24,Existing Credits Paid Back,New Car,1371,Unknown/ No Saving Ac,1 to 4,4,Female (Div/Sep/Married),none,4,Real Estate,25,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,36,Critical Account/Other Credit Existing(Not this bank),New Car,3535,<100,4 to 7,4,Male (Single),none,4,car or other,37,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,18,Existing Credits Paid Back,Radio/TV,3509,<100,4 to 7,4,Female (Div/Sep/Married),guarantor,1,Real Estate,25,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,36,Critical Account/Other Credit Existing(Not this bank),Used Car,5711,>=1000,>=7,4,Male (Single),none,2,car or other,38,none,Own,2,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
0 - 20 DM,18,Existing Credits Paid Back,Repairs,3872,<100,unemployed,2,Female (Div/Sep/Married),none,4,car or other,67,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,39,Critical Account/Other Credit Existing(Not this bank),Radio/TV,4933,<100,4 to 7,2,Male (Single),guarantor,2,Real Estate,25,none,Own,2,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,24,Critical Account/Other Credit Existing(Not this bank),New Car,1940,>=1000,>=7,4,Male (Single),none,4,Real Estate,60,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,12,No Credits taken/ All Credits Paid,Retraining,1410,<100,1 to 4,2,Male (Single),none,2,Real Estate,31,none,Own,1,Unskilled Resident,1,Yes,Yes,Good
0 - 20 DM,12,Existing Credits Paid Back,New Car,836,100 - 500,<1,4,Female (Div/Sep/Married),none,2,Society Saving/ Life Insurance,23,Bank,Own,1,Unskilled Resident,1,None,Yes,Bad
0 - 20 DM,20,Existing Credits Paid Back,Used Car,6468,Unknown/ No Saving Ac,unemployed,1,Male (Div/Sep/Married),none,4,Real Estate,60,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
0 - 20 DM,18,Existing Credits Paid Back,Business,1941,>=1000,1 to 4,4,Male (Single),none,2,Society Saving/ Life Insurance,35,none,Own,1,Unskilled Resident,1,Yes,Yes,Good
No Checking Account,22,Existing Credits Paid Back,Radio/TV,2675,500 - 1000,>=7,3,Male (Single),none,4,car or other,40,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,48,Critical Account/Other Credit Existing(Not this bank),Used Car,2751,Unknown/ No Saving Ac,>=7,4,Male (Single),none,3,car or other,38,none,Own,2,SkilledEmployee/Official,2,Yes,Yes,Good
0 - 20 DM,48,Delay in Payment in past,Education,6224,<100,>=7,4,Male (Single),none,4,Unknown/ No property,50,none,For Free,1,SkilledEmployee/Official,1,None,Yes,Bad
< 0 DM,40,Critical Account/Other Credit Existing(Not this bank),Education,5998,<100,1 to 4,4,Male (Single),none,3,Unknown/ No property,27,Bank,Own,1,SkilledEmployee/Official,1,Yes,Yes,Bad
0 - 20 DM,21,Existing Credits Paid Back,Business,1188,<100,>=7,2,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,39,none,Own,1,SkilledEmployee/Official,2,None,Yes,Bad
No Checking Account,24,Existing Credits Paid Back,Used Car,6313,Unknown/ No Saving Ac,>=7,3,Male (Single),none,4,car or other,41,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,2,Yes,Yes,Good
No Checking Account,6,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,1221,Unknown/ No Saving Ac,1 to 4,1,Male (Married/Widowed),none,2,Society Saving/ Life Insurance,27,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
>= 200 DM,24,Existing Credits Paid Back,Furniture/Equipment,2892,<100,>=7,3,Male (Div/Sep/Married),none,4,Unknown/ No property,51,none,For Free,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,24,Existing Credits Paid Back,Furniture/Equipment,3062,500 - 1000,>=7,4,Male (Single),none,3,Unknown/ No property,32,none,Rent,1,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,9,Existing Credits Paid Back,Furniture/Equipment,2301,100 - 500,<1,2,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,22,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,18,Existing Credits Paid Back,Used Car,7511,Unknown/ No Saving Ac,>=7,1,Male (Single),none,4,Society Saving/ Life Insurance,51,none,For Free,1,SkilledEmployee/Official,2,Yes,Yes,Bad
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,1258,<100,<1,2,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,22,none,Rent,2,Unskilled Resident,1,None,Yes,Good
No Checking Account,24,Delay in Payment in past,New Car,717,Unknown/ No Saving Ac,>=7,4,Male (Married/Widowed),none,4,car or other,54,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,9,Existing Credits Paid Back,New Car,1549,Unknown/ No Saving Ac,<1,4,Male (Single),none,2,Real Estate,35,none,Own,1,UnEmp - NR,1,None,Yes,Good
No Checking Account,24,Critical Account/Other Credit Existing(Not this bank),Education,1597,<100,>=7,4,Male (Single),none,4,Unknown/ No property,54,none,For Free,2,SkilledEmployee/Official,2,None,Yes,Good
0 - 20 DM,18,Critical Account/Other Credit Existing(Not this bank),Radio/TV,1795,<100,>=7,3,Female (Div/Sep/Married),guarantor,4,Real Estate,48,Bank,Rent,2,Unskilled Resident,1,Yes,Yes,Good
< 0 DM,20,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,4272,<100,>=7,1,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,24,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),Radio/TV,976,Unknown/ No Saving Ac,>=7,4,Male (Single),none,4,car or other,35,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,12,Existing Credits Paid Back,New Car,7472,Unknown/ No Saving Ac,unemployed,1,Female (Div/Sep/Married),none,2,Real Estate,24,none,Rent,1,UnEmp - NR,1,None,Yes,Good
< 0 DM,36,Existing Credits Paid Back,New Car,9271,<100,4 to 7,2,Male (Single),none,1,car or other,24,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Bad
0 - 20 DM,6,Existing Credits Paid Back,Radio/TV,590,<100,<1,3,Male (Married/Widowed),none,3,Real Estate,26,none,Own,1,Unskilled Resident,1,None,No,Good
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),Radio/TV,930,Unknown/ No Saving Ac,>=7,4,Male (Single),none,4,Real Estate,65,none,Own,4,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,42,All Credits Paid (this bank),Used Car,9283,<100,unemployed,1,Male (Single),none,2,Unknown/ No property,55,Bank,For Free,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
0 - 20 DM,15,No Credits taken/ All Credits Paid,New Car,1778,<100,<1,2,Female (Div/Sep/Married),none,1,Real Estate,26,none,Rent,2,UnEmp - NR,1,None,Yes,Bad
0 - 20 DM,8,Existing Credits Paid Back,Business,907,<100,<1,3,Male (Married/Widowed),none,2,Real Estate,26,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,6,Existing Credits Paid Back,Radio/TV,484,<100,4 to 7,3,Male (Married/Widowed),guarantor,3,Real Estate,28,Bank,Own,1,Unskilled Resident,1,None,Yes,Good
< 0 DM,36,Critical Account/Other Credit Existing(Not this bank),Used Car,9629,<100,4 to 7,4,Male (Single),none,4,car or other,24,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Bad
< 0 DM,48,Existing Credits Paid Back,Domestic Appliances,3051,<100,1 to 4,3,Male (Single),none,4,car or other,54,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
< 0 DM,48,Existing Credits Paid Back,New Car,3931,<100,4 to 7,4,Male (Single),none,4,Unknown/ No property,46,none,For Free,1,SkilledEmployee/Official,2,None,Yes,Bad
0 - 20 DM,36,Delay in Payment in past,New Car,7432,<100,1 to 4,2,Female (Div/Sep/Married),none,2,Society Saving/ Life Insurance,54,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,6,Existing Credits Paid Back,Domestic Appliances,1338,500 - 1000,1 to 4,1,Male (Div/Sep/Married),none,4,Real Estate,62,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,6,Critical Account/Other Credit Existing(Not this bank),Radio/TV,1554,<100,4 to 7,1,Female (Div/Sep/Married),none,2,car or other,24,none,Rent,2,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,36,Existing Credits Paid Back,others,15857,<100,unemployed,2,Male (Div/Sep/Married),co-applicant,3,car or other,43,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,None,Yes,Good
< 0 DM,18,Existing Credits Paid Back,Radio/TV,1345,<100,1 to 4,4,Male (Married/Widowed),none,3,Real Estate,26,Bank,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,12,Existing Credits Paid Back,New Car,1101,<100,1 to 4,3,Male (Married/Widowed),none,2,Real Estate,27,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
>= 200 DM,12,Existing Credits Paid Back,Radio/TV,3016,<100,1 to 4,3,Male (Married/Widowed),none,1,car or other,24,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,36,Existing Credits Paid Back,Furniture/Equipment,2712,<100,>=7,2,Male (Single),none,2,Society Saving/ Life Insurance,41,Bank,Own,1,SkilledEmployee/Official,2,None,Yes,Bad
< 0 DM,8,Critical Account/Other Credit Existing(Not this bank),New Car,731,<100,>=7,4,Male (Single),none,4,Real Estate,47,none,Own,2,Unskilled Resident,1,None,Yes,Good
No Checking Account,18,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,3780,<100,<1,3,Male (Div/Sep/Married),none,2,car or other,35,none,Own,2,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
< 0 DM,21,Critical Account/Other Credit Existing(Not this bank),New Car,1602,<100,>=7,4,Male (Married/Widowed),none,3,car or other,30,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,18,Critical Account/Other Credit Existing(Not this bank),New Car,3966,<100,>=7,1,Female (Div/Sep/Married),none,4,Real Estate,33,Bank,Rent,3,SkilledEmployee/Official,1,Yes,Yes,Bad
No Checking Account,18,No Credits taken/ All Credits Paid,Business,4165,<100,1 to 4,2,Male (Single),none,2,car or other,36,Stores,Own,2,SkilledEmployee/Official,2,None,Yes,Bad
< 0 DM,36,Existing Credits Paid Back,Used Car,8335,Unknown/ No Saving Ac,>=7,3,Male (Single),none,4,Unknown/ No property,47,none,For Free,1,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,48,Delay in Payment in past,Business,6681,Unknown/ No Saving Ac,1 to 4,4,Male (Single),none,4,Unknown/ No property,38,none,For Free,1,SkilledEmployee/Official,2,Yes,Yes,Good
No Checking Account,24,Delay in Payment in past,Business,2375,500 - 1000,1 to 4,4,Male (Single),none,2,car or other,44,none,Own,2,SkilledEmployee/Official,2,Yes,Yes,Good
< 0 DM,18,Existing Credits Paid Back,New Car,1216,<100,<1,4,Female (Div/Sep/Married),none,3,car or other,23,none,Rent,1,SkilledEmployee/Official,1,Yes,Yes,Bad
< 0 DM,45,No Credits taken/ All Credits Paid,Business,11816,<100,>=7,2,Male (Single),none,4,car or other,29,none,Rent,2,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,24,Existing Credits Paid Back,Radio/TV,5084,Unknown/ No Saving Ac,>=7,2,Female (Div/Sep/Married),none,4,car or other,42,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
>= 200 DM,15,Existing Credits Paid Back,Radio/TV,2327,<100,<1,2,Female (Div/Sep/Married),none,3,Real Estate,25,none,Own,1,Unskilled Resident,1,None,Yes,Bad
< 0 DM,12,No Credits taken/ All Credits Paid,New Car,1082,<100,1 to 4,4,Male (Single),none,4,car or other,48,Bank,Own,2,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,12,Existing Credits Paid Back,Radio/TV,886,Unknown/ No Saving Ac,1 to 4,4,Female (Div/Sep/Married),none,2,car or other,21,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,4,Existing Credits Paid Back,Furniture/Equipment,601,<100,<1,1,Female (Div/Sep/Married),none,3,Real Estate,23,none,Rent,1,Unskilled Resident,2,None,Yes,Good
< 0 DM,24,Critical Account/Other Credit Existing(Not this bank),Used Car,2957,<100,>=7,4,Male (Single),none,4,Society Saving/ Life Insurance,63,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,24,Critical Account/Other Credit Existing(Not this bank),Radio/TV,2611,<100,>=7,4,Male (Married/Widowed),co-applicant,3,Real Estate,46,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,36,Existing Credits Paid Back,Furniture/Equipment,5179,<100,4 to 7,4,Male (Single),none,2,Society Saving/ Life Insurance,29,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,21,Delay in Payment in past,Used Car,2993,<100,1 to 4,3,Male (Single),none,2,Real Estate,28,Stores,Own,2,Unskilled Resident,1,None,Yes,Good
No Checking Account,18,Existing Credits Paid Back,Repairs,1943,<100,<1,4,Female (Div/Sep/Married),none,4,Real Estate,23,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,24,All Credits Paid (this bank),Business,1559,<100,4 to 7,4,Male (Single),none,4,car or other,50,Bank,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,18,Existing Credits Paid Back,Furniture/Equipment,3422,<100,>=7,4,Male (Single),none,4,Society Saving/ Life Insurance,47,Bank,Own,3,SkilledEmployee/Official,2,Yes,Yes,Good
0 - 20 DM,21,Existing Credits Paid Back,Furniture/Equipment,3976,Unknown/ No Saving Ac,4 to 7,2,Male (Single),none,3,car or other,35,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,18,Existing Credits Paid Back,New Car,6761,Unknown/ No Saving Ac,1 to 4,2,Male (Single),none,4,car or other,68,none,Rent,2,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,24,Existing Credits Paid Back,New Car,1249,<100,<1,4,Male (Married/Widowed),none,2,Real Estate,28,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,9,Existing Credits Paid Back,Radio/TV,1364,<100,4 to 7,3,Male (Single),none,4,Real Estate,59,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,12,Existing Credits Paid Back,Radio/TV,709,<100,>=7,4,Male (Single),none,4,Real Estate,57,Stores,Own,1,Unskilled Resident,1,None,Yes,Bad
< 0 DM,20,Critical Account/Other Credit Existing(Not this bank),New Car,2235,<100,1 to 4,4,Male (Married/Widowed),guarantor,2,Society Saving/ Life Insurance,33,Bank,Rent,2,SkilledEmployee/Official,1,None,No,Bad
No Checking Account,24,Critical Account/Other Credit Existing(Not this bank),Used Car,4042,Unknown/ No Saving Ac,4 to 7,3,Male (Single),none,4,Society Saving/ Life Insurance,43,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,15,Critical Account/Other Credit Existing(Not this bank),Radio/TV,1471,<100,1 to 4,4,Male (Single),none,4,Unknown/ No property,35,none,For Free,2,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,18,All Credits Paid (this bank),New Car,1442,<100,4 to 7,4,Male (Single),none,4,Unknown/ No property,32,none,For Free,2,Unskilled Resident,2,None,Yes,Bad
No Checking Account,36,Delay in Payment in past,New Car,10875,<100,>=7,2,Male (Single),none,2,car or other,45,none,Own,2,SkilledEmployee/Official,2,Yes,Yes,Good
No Checking Account,24,Existing Credits Paid Back,New Car,1474,100 - 500,<1,4,Male (Married/Widowed),none,3,Real Estate,33,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,10,Existing Credits Paid Back,Retraining,894,Unknown/ No Saving Ac,4 to 7,4,Female (Div/Sep/Married),none,3,Society Saving/ Life Insurance,40,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,15,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,3343,<100,1 to 4,4,Male (Single),none,2,Unknown/ No property,28,none,For Free,1,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,15,Existing Credits Paid Back,New Car,3959,<100,1 to 4,3,Female (Div/Sep/Married),none,2,Society Saving/ Life Insurance,29,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Bad
No Checking Account,9,Existing Credits Paid Back,New Car,3577,100 - 500,1 to 4,1,Male (Single),guarantor,2,Real Estate,26,none,Rent,1,SkilledEmployee/Official,2,None,No,Good
No Checking Account,24,Critical Account/Other Credit Existing(Not this bank),Used Car,5804,>=1000,1 to 4,4,Male (Single),none,2,Real Estate,27,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,18,Delay in Payment in past,Business,2169,<100,1 to 4,4,Male (Married/Widowed),none,2,car or other,28,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Bad
< 0 DM,24,Existing Credits Paid Back,Radio/TV,2439,<100,<1,4,Female (Div/Sep/Married),none,4,Real Estate,35,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Bad
No Checking Account,27,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,4526,>=1000,<1,4,Male (Single),none,2,Real Estate,32,Stores,Own,2,Unskilled Resident,2,Yes,Yes,Good
No Checking Account,10,Existing Credits Paid Back,Furniture/Equipment,2210,<100,1 to 4,2,Male (Single),none,2,Real Estate,25,Bank,Rent,1,Unskilled Resident,1,None,Yes,Bad
No Checking Account,15,Existing Credits Paid Back,Furniture/Equipment,2221,500 - 1000,1 to 4,2,Female (Div/Sep/Married),none,4,car or other,20,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,18,Existing Credits Paid Back,Radio/TV,2389,<100,<1,4,Female (Div/Sep/Married),none,1,car or other,27,Stores,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,3331,<100,>=7,2,Male (Single),none,4,Society Saving/ Life Insurance,42,Stores,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,36,Existing Credits Paid Back,Business,7409,Unknown/ No Saving Ac,>=7,3,Male (Single),none,2,Society Saving/ Life Insurance,37,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,12,Existing Credits Paid Back,Furniture/Equipment,652,<100,>=7,4,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,24,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,36,Delay in Payment in past,Furniture/Equipment,7678,500 - 1000,4 to 7,2,Female (Div/Sep/Married),none,4,car or other,40,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
>= 200 DM,6,Critical Account/Other Credit Existing(Not this bank),New Car,1343,<100,>=7,1,Male (Single),none,4,Real Estate,46,none,Own,2,SkilledEmployee/Official,2,None,No,Good
< 0 DM,24,Critical Account/Other Credit Existing(Not this bank),Business,1382,100 - 500,4 to 7,4,Male (Single),none,1,Real Estate,26,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,15,Existing Credits Paid Back,Domestic Appliances,874,Unknown/ No Saving Ac,<1,4,Female (Div/Sep/Married),none,1,Real Estate,24,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,12,Existing Credits Paid Back,Furniture/Equipment,3590,<100,1 to 4,2,Male (Single),co-applicant,2,Society Saving/ Life Insurance,29,none,Own,1,Unskilled Resident,2,None,Yes,Good
0 - 20 DM,11,Critical Account/Other Credit Existing(Not this bank),New Car,1322,>=1000,1 to 4,4,Female (Div/Sep/Married),none,4,car or other,40,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,18,All Credits Paid (this bank),Radio/TV,1940,<100,<1,3,Male (Single),co-applicant,4,Unknown/ No property,36,Bank,For Free,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
No Checking Account,36,Existing Credits Paid Back,Radio/TV,3595,<100,>=7,4,Male (Single),none,2,car or other,28,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,9,Existing Credits Paid Back,New Car,1422,<100,<1,3,Male (Single),none,2,Unknown/ No property,27,none,For Free,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Bad
No Checking Account,30,Critical Account/Other Credit Existing(Not this bank),Radio/TV,6742,Unknown/ No Saving Ac,4 to 7,2,Male (Single),none,3,Society Saving/ Life Insurance,36,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,24,Existing Credits Paid Back,Used Car,7814,<100,4 to 7,3,Male (Single),none,3,car or other,38,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
No Checking Account,24,Existing Credits Paid Back,Used Car,9277,Unknown/ No Saving Ac,1 to 4,2,Male (Div/Sep/Married),none,4,Unknown/ No property,48,none,For Free,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,30,Critical Account/Other Credit Existing(Not this bank),New Car,2181,Unknown/ No Saving Ac,>=7,4,Male (Single),none,4,Real Estate,36,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,18,Critical Account/Other Credit Existing(Not this bank),Radio/TV,1098,<100,unemployed,4,Female (Div/Sep/Married),none,4,car or other,65,none,Own,2,UnEmp - NR,1,None,Yes,Good
0 - 20 DM,24,Existing Credits Paid Back,Furniture/Equipment,4057,<100,4 to 7,3,Male (Div/Sep/Married),none,3,car or other,43,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Bad
< 0 DM,12,Existing Credits Paid Back,Education,795,<100,<1,4,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,53,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,24,Critical Account/Other Credit Existing(Not this bank),Business,2825,Unknown/ No Saving Ac,4 to 7,4,Male (Single),none,3,Unknown/ No property,34,none,Own,2,SkilledEmployee/Official,2,Yes,Yes,Good
0 - 20 DM,48,Existing Credits Paid Back,Business,15672,<100,1 to 4,2,Male (Single),none,2,car or other,23,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Bad
No Checking Account,36,Critical Account/Other Credit Existing(Not this bank),New Car,6614,<100,>=7,4,Male (Single),none,4,car or other,34,none,Own,2,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
No Checking Account,28,All Credits Paid (this bank),Used Car,7824,Unknown/ No Saving Ac,<1,3,Male (Single),guarantor,4,Real Estate,40,Bank,Rent,2,SkilledEmployee/Official,2,Yes,Yes,Good
< 0 DM,27,Critical Account/Other Credit Existing(Not this bank),Business,2442,<100,>=7,4,Male (Single),none,4,car or other,43,Stores,Own,4,Mgmt/Self-Emp/Qual-Emp/Officer,2,Yes,Yes,Good
No Checking Account,15,Critical Account/Other Credit Existing(Not this bank),Radio/TV,1829,<100,>=7,4,Male (Single),none,4,car or other,46,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,12,Critical Account/Other Credit Existing(Not this bank),New Car,2171,<100,1 to 4,4,Male (Single),none,4,Society Saving/ Life Insurance,38,Bank,Own,2,Unskilled Resident,1,None,No,Good
